City,Lat,Long,Temp (C),Humidity,Cloudiness,Wind Speed,Country,GMT
Khatanga,71.97,102.5,-13.99,86,12,3.9,RU,1603043205
Tiksi,71.69,128.87,-7.52,96,100,8.05,RU,1603043205
Castro,-24.79,-50.01,20.33,74,100,3.57,BR,1603043205
Rodrigues Alves,-7.74,-72.65,35.41,37,69,1.51,BR,1603043205
Punta Arenas,-53.15,-70.92,8.0,65,75,10.8,CL,1603043072
Ushuaia,-54.8,-68.3,8.0,63,40,8.2,AR,1603043164
Rikitea,-23.12,-134.97,23.83,79,68,9.47,PF,1603043205
Albany,42.6,-73.97,16.11,35,93,5.39,US,1603043205
Mitsamiouli,-11.38,43.28,25.92,74,10,2.43,KM,1603043206
Butaritari,3.07,172.79,27.54,73,63,8.09,KI,1603043206
Bluff,-46.6,168.33,8.33,92,100,0.45,NZ,1603043206
Hobart,-42.88,147.33,9.0,76,75,3.1,AU,1603042943
Fairbanks,64.84,-147.72,-8.89,78,75,2.1,US,1603042923
Puerto Ayora,-0.74,-90.35,25.0,73,75,7.2,EC,1603043206
Arraial do Cabo,-22.97,-42.03,25.0,69,40,8.2,BR,1603043206
Qaanaaq,77.48,-69.36,0.47,88,96,3.66,GL,1603043206
Tilichiki,60.47,166.1,1.32,89,93,3.0,RU,1603043206
Mataura,-46.19,168.86,8.33,92,100,0.45,NZ,1603043206
Xochistlahuaca,16.78,-98.25,32.56,48,74,1.89,MX,1603043206
Cabo San Lucas,22.89,-109.91,32.22,70,5,4.6,MX,1603042937
Kohima,25.67,94.12,16.75,100,33,1.68,IN,1603043207
Kapaa,22.08,-159.32,26.0,88,75,3.6,US,1603043207
Saint-Philippe,-21.36,55.77,23.0,69,29,2.6,RE,1603043115
Qui Nhon,13.77,109.23,25.27,85,100,2.53,VN,1603042947
Cidreira,-30.18,-50.21,21.98,71,73,8.54,BR,1603043207
Hermanus,-34.42,19.23,16.67,76,61,2.27,ZA,1603043207
Hay River,60.82,-115.8,-4.0,68,75,4.1,CA,1603043207
Busselton,-33.65,115.33,16.11,50,3,4.24,AU,1603043207
Caravelas,-17.71,-39.25,25.43,67,44,4.89,BR,1603043207
Coolum Beach,-26.53,153.1,20.56,73,78,0.45,AU,1603043208
Mahébourg,-20.41,57.7,24.0,69,40,3.6,MU,1603043176
Aksu,41.12,80.26,10.61,43,0,0.54,CN,1603043208
Yuxia,34.06,108.63,13.89,100,41,1.0,CN,1603043208
Atuona,-9.8,-139.03,25.5,77,13,8.07,PF,1603043208
Roald,62.58,6.13,4.0,80,40,1.5,NO,1603043208
Hong Kong,22.29,114.16,23.89,80,72,6.65,HK,1603042714
Narasannapeta,18.42,84.05,26.54,86,88,2.86,IN,1603043208
Chui,-33.7,-53.46,25.48,53,0,3.36,UY,1603043208
Aljezur,37.32,-8.8,18.18,78,67,4.47,PT,1603043208
Marawi,8.0,124.29,23.89,94,97,2.68,PH,1603043208
Viedma,-40.81,-63.0,27.22,12,2,3.58,AR,1603043208
Shingū,33.73,135.98,15.52,72,65,2.33,JP,1603043209
Sioux Lookout,50.1,-91.92,0.0,81,90,4.1,CA,1603043209
Cape Town,-33.93,18.42,17.22,72,20,6.7,ZA,1603043209
Olafsvik,64.89,-23.71,5.98,80,67,12.13,IS,1603043181
Longyearbyen,78.22,15.64,-3.0,79,40,5.1,SJ,1603043209
Champerico,14.3,-91.92,31.0,66,75,3.1,GT,1603043209
Kidal,18.44,1.41,34.19,11,0,1.48,ML,1603043209
Talnakh,69.49,88.4,-8.0,85,90,3.0,RU,1603043209
Hithadhoo,-0.6,73.08,28.65,77,100,7.18,MV,1603043210
Ribeira Grande,38.52,-28.7,17.0,55,40,5.7,PT,1603043210
Upernavik,72.79,-56.15,0.74,90,33,4.04,GL,1603043210
Santa Cruz de la Sierra,-17.8,-63.17,37.0,30,20,6.2,BO,1603043066
Vaini,-21.2,-175.2,21.0,88,75,4.6,TO,1603043210
Norman,35.22,-97.44,22.0,78,75,2.1,US,1603042916
Tuktoyaktuk,69.45,-133.04,-12.0,92,20,2.6,CA,1603043210
Kirakira,-10.45,161.92,26.32,82,91,3.23,SB,1603043210
Chicama,-7.84,-79.15,20.0,72,37,5.7,PE,1603043210
Egvekinot,66.32,-179.17,-4.48,88,94,2.72,RU,1603043107
